,labels,text
0,2,so there is a potential cure for coronavirus and the news jumps back on the climate crisis train in no te
1,0,half of britain's population suffers from corona oxford university research man_facepalming
2,0,karnataka sees biggest single day spike with 99 covid 19 cases 24 from bengaluru alone – at bhiwandi
3,0,do not bring further imported flying trouble already poor people are paying for this imported corona
4,1,good news for bathinda twitter com/hkjz3kvmiu
5,0,social distancing | civilized society | civilized country hold funeral despite covid 19 pandemic ー19
6,1,haha lockdown khul raha hai take ur hubby for outdoor photoshoot
7,0,covid 19 shocker video shows patients sleeping with the dead in mumbai hospital
8,0,if karnataka police block road for covid19 transmission kerala cm huge war cry to pm kerala not mfr state consumer state
9,3,us citizens damn i got corona virus us government ok boo i see you treat yo self
10,3,my ex boyfriend has coronavirus stay away from him x x x
11,2,hopefully they can contain her with the one who has coronavirus
12,3,world's fastest supercomputer identifies chemicals that could stop coronavirus from spreading
13,2,stop the and enough said twitter com/kmkqkb9xbo
14,2,it upsets me that he has coronavirus because i often imagine him spitting in my mouth
15,0,these days 90 % population in india are selling mask and sanitizers to remaining 10 % face_with_tears_of_joy
16,2,corona virus killing white people and gas cheaper in the hood
17,2,this coronavirus affecting my plans a bit too much now ffs
18,2,dr drew and dr oz rip media for coronavirus panic urge common sense via
19,3,my mom said i got to be safe or i'll catch the “coronavirus” no bitch you may catch it but i'm different
20,1,much needed therapy …
21,0,lockdown chala da maraj kuthe jave khan tai drooling_face loudly_crying_face
22,2,lockdown did its job but now i fear the will force us to coming in june 2nd week …
23,0,rest in peace celebrated music composer of the duo sajid wajid passes away at 41 he was suffering from covid 19
24,1,stay at home and stay safe we will be together once corona virus goes away we love you guys írus steak house… …
25,3,trump 'offers large sums' for to ugh embarrassing to be american right now
26,1,best use of covid 19 azure certification
27,2,conference canceled due to concerns and impacts
28,2,i love this my fear is the constant barraging folks with fear about corona virus is going to make people mentally sick
29,2,whatever pain i feel i google if the symptoms are related
30,1,naicee remix on yes let us break this lockdown together love from hugging_face hugging_face
31,3,the oddest thing ppl are buying bullets and guns for the coronavirus
32,2,costco suspends free sample program in stores amid coronavirus concerns
33,3,testing blunders crippled us response to coronavirus
34,3,coronavirus countries enforce mass closures to stem spread
35,3,coronavirus really took all the traffic away
36,3,need a coronavirus infection map with a laughing kim jong overlay
37,0,heal the world from the dangerous virus #โควิด_19 ー19 #โควิท_19 ıd19 twitter com/wwmgdwcr2j
38,1,thanks sir
39,1,lockdown ride video coming soon traveldiaryindia stay tuned travel diary india on youtube link below subscribe now … india …
40,1,hoping that i would emerge on the other side of this more healthy and fit here's my dinner salad twitter com/iozlyen8rz
41,1,lockdown writings inspired by backtothefuture rajasthan
42,3,exploring my archives | staying home even if it has been hot as hell | kwang pottery jungle
43,2,alcohol consumption worsens the prognosis of corona virus
44,0,three coronavirus whistle blowers remain missing two months after exposing the true scale of the outbreak from wuhan
45,3,cada día me convenzo más el coronavirus ataca al kirchnerismo gracias totales
46,2,we can i'm just not going to stream tonight i am sick no coronavirus tho but we can definitely play
47,1,yes madam he is bring corona with him that is a good news
48,3,this coronavirus has really brought out the pussy in people
49,3,david clarke says coronavirus is just “the damn flu” rated pants on fire by politifact – via factstream
50,2,when the coronavirus scare is over i'm going to hug everyone i meet
51,3,+ wh “president trump does not have the coronavirus” reality “trump got that shit ”
52,3,like father like son ron and rand paul are just so fucking stupid
53,1,monday motivation pic twitter com/7lskugfmlh
54,3,so are we just calling a common cold coronavirus now just wondering if i need to go rush out and buy things lol gtfoh
55,1,good evening sir my self nishant solanki i have vaccine for coronavirus but it is not sure
56,2,is it just me that feels sick but do not want to get check cause you do not feel like you have the corona virus
57,1,yknow during this covid i can finally see my own local people on our public transports
58,2,if the government does not “haha april fools” the corona virus imma be mad
59,0,left hand anna offline boring lockdown lekunte frnds tho spend chesevaadni
60,2,this worldwide coronavirus was a planned disease to depopulate people periodt
61,2,only one form of contagion travels faster than a virus and that is fear ~ dan brown …
62,2,surely it is too soon for peak
63,3,so the dine in part in restaurants and bars here have been closed until further notice because of the coronavirus
64,0,covid 19 mission impossible it is possible still waiting for follow back
65,2,it is wuhan corona virus or china fever
66,2,thoughts on the coronavirus
67,2,tucker we must remain calm but not complacent about the coronavirus via
68,2,could coronavirus end china's grip on global manufacturing
69,1,keep your safety practice's strong & football stronger india …
70,0,i am in lonavala since lockdown 1 0 now i want to go to mumbai my home do i need a e pass to travel back please help
71,3,i'm officially pissed off at coronavirus
72,3,company threatens to sue volunteers who 3d printed valves for coronavirus aid
73,1,good news out of the ten covid19 patients in district gurugram 9 people have fully recovered
74,1,_fighting_corona to create a better world pic twitter com/xcigogj1a2
75,2,adobe cancels nab 2020 attendance due to coronavirus concerns
76,3,in 2014 americans freaked out about ebola now here we are in 2020 about to shit bricks over the corona virus good lands
77,2,coronavirus be still and wait on the lord he will bring his way his truth and his life out of this
78,3,i'm moving the bare knuckle brawl to tonight you best be ready coronavirus you bastard i'm coming for your head
79,1,welcome here in corona xd
80,0,tribute rip irrfan khan awesome bollywood actor … …
81,2,this is actually ridiculous i hope everyone is staying safe
82,0,currently pakistan is confronting three major challenges 1 corona virus 2 ignorance 3 fake news
83,2,this is the reality of coronavirus think before you go out and put others in danger
84,1,did not study for my covid 19 test yet i still passed smiling_face_with_sunglasses
85,2,my eyebrows cannot take this coronavirus any longer my shit looking crazy
86,1,officially ipoh kinta lockdown
87,0,new coronavirus losing potency top italian doctor says | article [amp] | reuters …
88,3,due to the coronavirus i wont be going out you drunk bitches aint coughing on me
89,3,in taiwan anger at china over covid 19 drives identity debate …pic twitter com/k4rknxqswk
90,1,i am proud of the way she reacted with courage for amfan and corona reacted is praiseworthy
91,0,life is hard it is harder if you are stupid twitter com/39baeoupeh – at sivasagar town
92,0,this pc is a joke on those people who are suffering from _19india …
93,0,plz pray for my classmate his covid19 test comes postive broken_heart
94,3,uncalled for hysteria via
95,2,never had a flu shot never had the flu fuck the corona virus
96,2,the word ‘corona virus' is actually starting to hurt my head
97,0,negative result again for covid 19 and got cleared back to work tomorrow
98,2,the risks in going to the gym during the coronavirus pandemic explained by experts
99,2,if the coronavirus does not kill me i swear this household will
100,3,everyone panicked by the coronavirus is part of the fucking problem
101,3,doc told inmates that the governor will not stop transport why when they are quarantining people at the transport receiving _19
102,3,imagine if on april 1st people be like haha yeah corona virus was just a joke the whole world was in on it lol
103,3,is this humor people are going to die from the corona virus you are a senator a supposed leader what is wrong with you
104,3,so the coronavirus really out hea buggin wtf stay w clean hands ppls
105,0,delhi hc raps app govt on not fulfilling promise to feed hungry during lockdown pic twitter com/ywtehdmhiu
106,0,coronavirus death rate mi blocked rate gong at same rate
107,1,good i learn this method in lockdown period thanks mem
108,3,but is not it a hoax your dear leader says it was a hoax
109,2,maybe disneyland will finally lower their prices because everyone is scared of the corona virus
110,1,this billboard is worth sharing thanks to the muslim canadians for this amazing wisdom awareness pic twitter com/xm8zt8a20x
111,0,8hours in the covid ward done pic twitter com/wqqkppt5f
112,2,you accidentally caught the coronavirus
113,3,people attaching the media for fear mongering over coronavirus are fucking morons what is wrong with you people
114,0,first of all stay away from whatsapp fake news virus so that u keep yourself safe from corona virus
115,3,i've been fucking around about the coronavirus but now there is 3 confirmed cases in my county
116,0,"death toll in italy surpasses 7 500"" over 400 patients 100 people recovered 200 dead globally"
117,3,illinois gov slams donald trump for ‘throwing tantrums from the back seat' rather than leading on coronavirus
118,0,28th march 01 48am total covid 19 cases in pakistan are 1365 recovered 25 died 10 crying_face
119,3,i rlly got to move out of college bc of coronavirus this shits crazyyy
120,3,if the (coronavirus) is real why are they using fake people to lie
121,1,_fighting_corona ~ creating a better world nrbs&g twitter com/xjjpcotosk
122,0,and the irony is no of corona cases in india are still less than my jee rank
123,3,it is ridiculous everyone in america cannot easily get testing out healthcare system is trash
124,3,“donald trump tests negative for coronavirus” the useless bastard just cannot do anything right
125,1,cheese with other home made food is the best thing for me to fight against corona in this lockdown tagging
126,2,italy and spain death rate coronavirus top crisis pic twitter com/jtjpbkjblj
127,3,yeah for real mais soo pousson sortie bi après koor gui insha allah fekk coronavirus seey aussi
128,2,fucking coronavirus *shakes fists*
129,2,i wonder if those weapons have any affect on the coronavirus
130,3,we must not let small businesses fail boeing caused their troubles long before coronavirus
131,2,per my husband until the coronavirus has killed more people than the clintons stop panicking and hoarding tp
132,1,israel offers to teach its secrets against coronavirus abroad …
133,2,australia is taking the threat seriously why is not london
134,2,will coronavirus affect food supply first problem a possible shortage of workers
135,2,hey do not email me about the coronavirus worry about my money and that is it you can cut the shit as well
136,2,coronavirus resistance and the stress factor
137,3,‘idiots' sen kennedy tears into democrats for blocking coronavirus stimulus bill in fiery speech via
138,2,coronavirus racist attacks against asians amid covid 19 threat |
139,0,yesterday's covid 19 new cases and new deaths
140,3,wait why is the coronavirus a bigger story and has had bigger repercussions then the global pedophile ring
141,2,u s sec warns against illegal trading during coronavirus disruption
142,3,fyi
143,2,waiting in line for groceries at heb w/a dozen others behind and in front of me and i'm the only one wearing a is real
144,1,this positive is something which is exciting not the corona one …
145,3,the bigger massacre will come when a super microbe arises from the ashes of all of our empty purell bottles
